Residues,SMILES,Remark
FA2:0,OC(C)=O,FA2:0
FA3:0,OC(CC)=O,FA3:0
FA3:1,OC(C=C)=O,FA3:1
FA4:0,OC(CCC)=O,FA4:0
FA4:1,OC(C\C=C/C)=O,FA4:1(2Z)
FA5:0,OC(CCCC)=O,FA5:0
FA5:1,OC(C\C=C/CC)=O,FA5:1(2Z)
FA6:0,OC(CCCCC)=O,FA6:0
FA6:1,OC(CC\C=C/CC)=O,FA6:1(3Z)
FA7:0,OC(CCCCCC)=O,FA7:0
FA7:1,OC(CC\C=C/CC)=O,FA7:1(4Z)
FA8:0,OC(CCCCCCC)=O,FA8:0
FA8:1,OC(CCC\C=C/CC)=O,FA8:1(5Z)
FA9:0,OC(CCCCCCCC)=O,FA9:0
FA9:1,OC(CCCC\C=C/CC)=O,FA9:1(6Z)
FA10:0,OC(CCCCCCCCC)=O,FA10:0
FA10:1,OC(CC\C=C/CCCCC)=O,FA10:1(4Z)
FA11:0,OC(CCCCCCCCCC)=O,FA11:0
FA11:1,OC(CCCC\C=C/CCCC)=O,FA11:1(6Z)
FA12:0,OC(CCCCCCCCCCC)=O,FA12:0
FA12:1,OC(CCCC\C=C/CCCCC)=O,FA12:0(6Z)
FA13:0,OC(CCCCCCCCCCCC)=O,FA13:0
FA13:1,OC(CCCCCC\C=C/CCCC)=O,FA13:0(8Z)
FA14:0,OC(CCCCCCCCCCCCC)=O,FA14:0
FA14:1,OC(CCCCCCC\C=C/CCCC)=O,FA14:1(9Z)
FA14:2,OC(CCC\C=C/C\C=C/CCCCC)=O,"FA14:2(5Z,8Z)"
FA15:0,OC(CCCCCCCCCCCCCC)=O,FA15:0
FA15:1,OC(CCCCCCC\C=C/CCCCC)=O,FA15:1(9Z)
FA16:0,OC(CCCCCCCCCCCCCCC)=O,FA16:0
FA16:1,OC(CCCCCCC\C=C/CCCCCC)=O,FA16:1(9Z)
FA16:2,OC(CCCC\C=C/C\C=C/CCCCCC)=O,FA16:2
FA17:0,OC(CCCCCCCCCCCCCCCC)=O,FA17:0
FA17:1,OC(CCCCCCC\C=C/CCCCCCC)=O,FA17:1(9Z)
FA18:0,OC(CCCCCCCCCCCCCCCCC)=O,FA18:0
FA18:1,OC(CCCCCCC\C=C/CCCCCCCC)=O,FA18:1(9Z)
FA18:2,OC(CCCCCCC\C=C/C\C=C/CCCCC)=O,"FA18:2(9Z,12Z)"
FA18:3,OC(CCCCCCC\C=C/C\C=C/C\C=C/CC)=O,"FA18:3(9Z,12Z,15Z)"
FA18:3,OC(CCCC\C=C/C\C=C/C\C=C/CCCCC)=O,"FA18:3(6Z,9Z,12Z)"
FA18:4,OC(CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)=O,FA18:04
FA19:0,OC(CCCCCCCCCCCCCCCCCC)=O,FA19:0
FA19:1,OC(CCCCCCCC\C=C/CCCCCCCC)=O,FA19:1(10Z)
FA19:2,OC(CCCCCCCC\C=C/C\C=C/CCCCC)=O,"FA19:2(10Z,13Z)"
FA20:0,OC(CCCCCCCCCCCCCCCCCCC)=O,FA20:0
FA20:1,OC(CCCCCCCCCCCC\C=C/CCCCC)=O,FA20:3(14Z)
FA20:2,OC(CCCCCC\C=C/C\C=C/CCCCCCCC)=O,"FA20:3(8Z,11Z)"
FA20:3,OC(CCCCCC\C=C/C\C=C/C\C=C/CCCCC)=O,"FA20:3(8Z,11Z,14Z)"
FA20:4,OC(CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)=O,"FA20:4(5Z,8Z,11Z,14Z)"
FA20:5,OC(CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)=O,"FA20:5(5Z,8Z,11Z,14Z,17Z)"
FA21:0,OC(CCCCCCCCCCCCCCCCCCCC)=O,FA21:0
FA21:1,OC(CCCCCCCCCCC\C=C/CCCCCCC)=O,FA21:2(13Z)
FA21:2,OC(CCCCCCCCCCC\C=C/C\C=C/CCCC)=O,"FA21:2(13Z,16Z)"
FA21:3,OC(CCCCCCCC\C=C/C\C=C/C\C=C/CCCC)=O,"FA21:4(10Z,13Z,16Z)"
FA21:4,OC(CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC)=O,"FA21:4(7Z,10Z,13Z,16Z)"
FA21:5,OC(CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C)=O,"FA21:5(7Z,10Z,13Z,16Z,19Z)"
FA22:0,OC(CCCCCCCCCCCCCCCCCCCCCC)=O,FA22:0
FA22:1,OC(CCCCCCCCCCC\C=C/CCCCCCCC)=O,FA22:2(13Z)
FA22:2,OC(CCCCCCCCCCC\C=C/C\C=C/CCCCC)=O,"FA22:2(13Z,16Z)"
FA22:3,OC(CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC)=O,"FA22:4(10Z,13Z,16Z)"
FA22:4,OC(CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)=O,"FA22:4(7Z,10Z,13Z,16Z)"
FA22:5,OC(CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)=O,"FA22:5(7Z,10Z,13Z,16Z,19Z)"
FA22:5,OC(CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)=O,"FA22:5(4Z,7Z,10Z,13Z,16Z)"
FA22:6,OC(CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)=O,"FA22:6(4Z,7Z,10Z,13Z,16Z,19Z)"
O-16:0,OCCCCCCCCCCCCCCCC,O-16:0
O-16:1,OCCCCCCCC\C=C/CCCCCC,O-16:1(9Z)
O-18:0,OCCCCCCCCCCCCCCCCCC,O-18:0
O-18:1,OCCCCCCCC\C=C/CCCCCCCC,O-18:1(9Z)
O-20:0,OCCCCCCCCCCCCCCCCCCCC,O-20:0
P-16:0,O\C=C/CCCCCCCCCCCCCC,P-16:0
P-18:0,O\C=C/CCCCCCCCCCCCCCCC,P-18:0
P-18:1,O\C=C/CCCCCC\C=C/CCCCCCCC,P-18:1(9Z)
P-20:0,O\C=C/CCCCCCCCCCCCCCCCCC,P-20:0
